ind_id,Citation.number,Citation,Year,Global.Change.Driver,Effect,Endpoint,Endpoint_Host_Parasite,Native.host.type,Ectothermic.host,Enemy.type,Ectoparasite,Vector,Vector.borne,Free.living.stages,Route,Macroparasite,Human.Parasite,Zoonotic,Venue,Habitat,Enemy_Random_Effect,Enemy_Random_EffectIS,Native.host,ContinentUse,humanendpoint,Predictor_Type,Error_Type,MeanControl,VarianceControl,SampleSizeControl,MeanTreatment,VarianceTreatment,SampleSizeTreatment,Coefficient,CoefficientVariance,Coef_Type,SD_Y,SDControl,SDTreatment,Sample_size,SMDH_yi,SMDH_vi,SMDH_viC,LRR_yi,LRR_vi,LRR_viC
69,68,"Brant, H. L., et al. (2016). ""Vertical stratification of adult mosquitoes (Diptera: Culicidae) within a tropical rainforest in Sabah, Malaysia."" Malaria Journal 15.",2016,HLC,Deforestation,Parasite abundance,Parasite,Mammal,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,No,NA,Field,Terrestrial,All mosquitoes,All mosquitoes,Homo sapiens,Asia,Yes,Categorical,SE,1.334,0.4929,12,26.761,5.3521,15,NA,NA,,NA,1.707455686,20.72859417,27,1.676427955,0.227671523,0.227671523,2.998763656,0.176521554,0.176521554
70,68,"Brant, H. L., et al. (2016). ""Vertical stratification of adult mosquitoes (Diptera: Culicidae) within a tropical rainforest in Sabah, Malaysia."" Malaria Journal 15.",2016,HLC,Deforestation,Parasite abundance,Parasite,Mammal,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,No,NA,Field,Terrestrial,All mosquitoes,All mosquitoes,Homo sapiens,Asia,Yes,Categorical,SE,1.6901,0.8451,12,11.901,3.873,15,NA,NA,,NA,2.927512275,15.0000645,27,0.916181269,0.161863845,0.161863845,1.951834731,0.355937418,0.355937418
103,119,"Cho, S. H., et al. (2006). ""Surveillance of bacterial pathogens associated with acute diarrheal disease in the Republic of Korea during one year, 2003."" Journal of Microbiology 44(3): 327-335.",2006,HLC,Urbanization,Parasite prevalence/incidence,Parasite,Mammal,No,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Terrestrial,Enteric bacterial infections,Enteric bacterial infections,Homo sapiens,Asia,Yes,Categorical,SD,3.28,1.14,6,7.78,4.28,6,NA,NA,,NA,1.14,4.28,12,1.325812573,0.471735586,0.471735586,0.863712916,0.070573339,0.070573339
135,143,"Crim, J. F., et al. (2012). ""Assessment of Fecal Coliform and Escherichia Coli Across a Land Cover Gradient in West Georgia Streams."" Water Quality Exposure and Health 4(3): 143-158.",2012,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Freshwater,Fecal coliforms,Fecal coliforms,None,North America,No,Categorical,SE,198.1351981,151.5151515,3,874.1258741,617.7156177,5,NA,NA,,NA,262.4319405,1381.254112,8,0.590629068,0.421127994,0.421127994,1.48427477,1.084152864,1.084152864
136,143,"Crim, J. F., et al. (2012). ""Assessment of Fecal Coliform and Escherichia Coli Across a Land Cover Gradient in West Georgia Streams."" Water Quality Exposure and Health 4(3): 143-158.",2012,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Freshwater,Fecal coliforms,Fecal coliforms,None,North America,No,Categorical,SE,116.5501166,81.58508159,4,874.1258741,617.7156177,5,NA,NA,,NA,163.1701632,1381.254112,9,0.684179885,0.441172574,0.441172574,2.01490302,0.989377777,0.989377777
137,143,"Crim, J. F., et al. (2012). ""Assessment of Fecal Coliform and Escherichia Coli Across a Land Cover Gradient in West Georgia Streams."" Water Quality Exposure and Health 4(3): 143-158.",2012,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Freshwater,Fecal coliforms,Fecal coliforms,None,North America,No,Categorical,SE,139.8601399,81.58508159,4,874.1258741,617.7156177,5,NA,NA,,NA,163.1701632,1381.254112,9,0.663128196,0.438451355,0.438451355,1.832581463,0.839655555,0.839655555
138,143,"Crim, J. F., et al. (2012). ""Assessment of Fecal Coliform and Escherichia Coli Across a Land Cover Gradient in West Georgia Streams."" Water Quality Exposure and Health 4(3): 143-158.",2012,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Bacteria,No,No,No,Yes,Direct,No,Yes,NA,Field,Freshwater,Fecal coliforms,Fecal coliforms,None,North America,No,Categorical,SE,104.8951049,75.75757576,4,874.1258741,617.7156177,5,NA,NA,,NA,151.5151515,1381.254112,9,0.695365226,0.442580016,0.442580016,2.120263536,1.020982716,1.020982716
170,196,"Evans, K. L., et al. (2009). ""Effects of urbanisation on disease prevalence and age structure in blackbird Turdus merula populations."" Oikos 118(5): 774-782.",2009,HLC,Urbanization,Parasite abundance,Parasite,Bird,No,Arthropod,Yes,Yes,No,Yes,Direct,Yes,No,NA,Field,Terrestrial,Ticks1,Ticks1,Turdus merula,Europe,No,Categorical,SE,5.18,0.49,12,0.32,0.07,11,NA,NA,,NA,1.697409791,0.232163735,23,-3.866506464,0.777669032,0.777669032,-2.784239339,0.0567997,0.0567997
171,205,"Ferraguti, M., et al. (2016). ""Effects of landscape anthropization on mosquito community composition and abundance."" Scientific Reports 6.",2016,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos1,Mosquitos1,Several,Europe,No,Categorical,SE,4.27,0.42,15,2.98,0.42,15,NA,NA,,NA,1.626653005,1.626653005,30,-0.771573547,0.145291227,0.145291227,-0.359690527,0.029538789,0.029538789
172,205,"Ferraguti, M., et al. (2016). ""Effects of landscape anthropization on mosquito community composition and abundance."" Scientific Reports 6.",2016,HLC,Urbanization,Parasite abundance,Parasite,NA,Yes,Arthropod,Yes,Yes,No,Yes,Direct,Yes,Yes,NA,Field,Terrestrial,Mosquitos1,Mosquitos1,Several,Europe,No,Categorical,SE,4.96,0.41,15,2.98,0.42,15,NA,NA,,NA,1.587923172,1.626653005,30,-1.198457078,0.159520731,0.159520731,-0.50948244,0.026696859,0.026696859
